id,query_string,repository_id,repository_url,project_url,version,title,description,language,doi,upload_date,download_date,download_repository_folder,download_project_folder,download_version_folder,download_method
67,"interview,qualitative,qdpx",1,https://datafirst.uct.ac.za,https://www.datafirst.uct.ac.za/dataportal/index.php/zaf-pu-aifs-2004-v1,,Agincourt Integrated Family Survey 2004,,en,,2011-12-12T15:54:43+,2026-04-04T20:17:34.258428,datafirst,zaf-pu-aifs-2004-v1,,API-CALL
68,"interview,qualitative,qdpx",1,https://datafirst.uct.ac.za,https://www.datafirst.uct.ac.za/dataportal/index.php/afr-ab-afr34-2019-2021-v1,,"Afrobarometer Survey 2019-2021, Merged 34 Country",,en,,2024-10-09T11:27:09+,2026-04-04T20:17:37.732854,datafirst,afr-ab-afr34-2019-2021-v1,,API-CALL
69,"interview,qualitative,qdpx",1,https://datafirst.uct.ac.za,https://www.datafirst.uct.ac.za/dataportal/index.php/zaf-saldru-saifs-1999-v1.1,,"South African Integrated Family Survey 1999, Langeberg Survey",,en,,2013-04-23T08:43:39+,2026-04-04T20:17:41.206581,datafirst,zaf-saldru-saifs-1999-v1.1,,API-CALL
70,"interview,qualitative,qdpx",1,https://datafirst.uct.ac.za,https://www.datafirst.uct.ac.za/dataportal/index.php/zaf-fh-clsds-2016-2017-v1,,Community-Level Social Dynamics Survey 2016-2017,,en,,2017-11-23T12:38:41+,2026-04-04T20:17:44.664622,datafirst,zaf-fh-clsds-2016-2017-v1,,API-CALL
71,"interview,qualitative,qdpx",1,https://datafirst.uct.ac.za,https://www.datafirst.uct.ac.za/dataportal/index.php/zaf-2010-uisp-2010-v1,,Impact Evaluation of the Upgrading of Informal Settlements Programme 2010,,en,,2012-07-31T09:49:36+,2026-04-04T20:17:48.044483,datafirst,zaf-2010-uisp-2010-v1,,API-CALL
72,"interview,qualitative,qdpx",1,https://datafirst.uct.ac.za,https://www.datafirst.uct.ac.za/dataportal/index.php/zaf-ijr-sarb-2021-v1,,"South African Reconciliation Barometer 2021, Round 17",,en,,2025-02-06T12:30:54+,2026-04-04T20:17:51.423707,datafirst,zaf-ijr-sarb-2021-v1,,API-CALL
73,"interview,qualitative,qdpx",1,https://datafirst.uct.ac.za,https://www.datafirst.uct.ac.za/dataportal/index.php/zaf-cssr-mw-2014-2018-v1,,Mzantsi Wakho 2014-2018,,en,,2025-12-04T14:36:07+,2026-04-04T20:17:54.936999,datafirst,zaf-cssr-mw-2014-2018-v1,,API-CALL
74,"interview,qualitative,qdpx",1,https://datafirst.uct.ac.za,https://www.datafirst.uct.ac.za/dataportal/index.php/zaf-daru-cnep-2009-v1,,"Comparative National Elections Project, South Africa 2009",,en,,2017-03-28T12:09:23+,2026-04-04T20:17:58.285139,datafirst,zaf-daru-cnep-2009-v1,,API-CALL
75,"interview,qualitative,qdpx",1,https://datafirst.uct.ac.za,https://www.datafirst.uct.ac.za/dataportal/index.php/zaf-cenpops-imsa-1999-2000-v1,,Internal Migration in South Africa 1999-2000,,en,,2012-11-01T12:39:07+,2026-04-04T20:18:01.698449,datafirst,zaf-cenpops-imsa-1999-2000-v1,,API-CALL
76,"interview,qualitative,qdpx",1,https://datafirst.uct.ac.za,https://www.datafirst.uct.ac.za/dataportal/index.php/zaf-idasa-iles-1995-v1,,IDASA Local Election Study 1995,,en,,2012-10-24T13:34:27+,2026-04-04T20:18:05.188815,datafirst,zaf-idasa-iles-1995-v1,,API-CALL
